anime_id,Name,English name,Other name,Score,Genres,Synopsis,Type,Episodes,Aired,Premiered,Status,Producers,Licensors,Studios,Source,Duration,Rating,Rank,Popularity,Favorites,Scored By,Members,Image URL
1528,Bishoujo Yuugekitai Battle Skipper,Battle Skipper,美少女遊撃隊バトルスキッパー,5.23,"Comedy, Sci-Fi","Despite the title, this is not a feature but the three-part OAV Battle Skipper (1995), which Takashi Watanabe directed before going on to Slayers. 

When the members of the Etiquette Club at St. Ignacio's School for Girls go down the tubes--literally--they acquire the skimpy outfits they wear to pilot the unfortunately named BSs or Battle Skippers, state-of-the-art military mecha. As ""Extars,"" the Etiquette Club members fight to eliminate evil from the world, which means the bizarre schemes of Sayaka, the nasty, super-rich president of the rival Debutante Club, and her flunky, Todo. 

The series was created to promote a line of robot toys from Tomy, and viewers who are willing to accept high school girls' quarrels escalating into battles involving satellite weaponry may enjoy these silly adventures.

(Source: AniDB)",OVA,3.0,"Aug 23, 1995 to Dec 16, 1995",UNKNOWN,Finished Airing,"Tokyo Kids, Victor Entertainment",Central Park Media,Artmic,Original,27 min per ep,PG-13 - Teens 13 or older,11529.0,10443,0,743.0,2149,https://cdn.myanimelist.net/images/anime/1851/96471.jpg
1529,De:vadasy,Devadasy,創世聖紀デヴァダシー,4.57,"Action, Ecchi","For young men like Kei, life is still plagued by nothing but homework and girl trouble. When an unknown force besieges Earth with robotic war machines, however, it is Kei who is chosen to defend the human race.",OVA,3.0,"Nov 25, 2000 to Jan 25, 2001",UNKNOWN,Finished Airing,"AIC, Green Bunny",Media Blasters,Studio Gazelle,Game,23 min per ep,R+ - Mild Nudity,12437.0,9410,0,1134.0,3072,https://cdn.myanimelist.net/images/anime/1378/91079.jpg
1530,Kanon (2006),Kanon,カノン (2006),7.95,"Drama, Romance, Supernatural","As a young child, Aizawa Yuuichi had often visited his cousin in the city; however, something drastic happened to keep him away for seven long years. Now, Yuuichi returns, his memories of those days are simply gone.

Settling into the wintry town, Yuuichi comes across several young girls, all of whom are connected to his past. As he befriends them and continues to interact with them, the long forgotten memories from his childhood begin to resurface...",TV,24.0,"Oct 6, 2006 to Mar 16, 2007",fall 2006,Finished Airing,"Pony Canyon, TBS, Movic","ADV Films, Funimation",Kyoto Animation,Visual novel,24 min per ep,PG-13 - Teens 13 or older,646.0,844,4345,134132.0,265040,https://cdn.myanimelist.net/images/anime/1362/128746.jpg
1531,Shakugan no Shana: Koi to Onsen no Kougai Gakushuu!,UNKNOWN,灼眼のシャナSP　恋と温泉の校外学習！,7.15,"Comedy, Fantasy, Romance, Ecchi","Yuji and Shana's class go on a trip to see various temples and shrines, followed by a trip to a hot springs resort. During the trip, Matake Ogata tries to tell Eita Tanaka her feelings for him, but various complications and hijinks occur that prevent her from doing so.",OVA,1.0,"Dec 8, 2006",UNKNOWN,Finished Airing,UNKNOWN,Geneon Entertainment USA,J.C.Staff,Light novel,25 min,PG-13 - Teens 13 or older,3291.0,3547,20,17507.0,34517,https://cdn.myanimelist.net/images/anime/1710/120194.jpg
1532,Suki na Mono wa Suki Dakara Shou ga Nai!!,Sukisho,好きなものは好きだからしょうがない！！,6.64,"Boys Love, Comedy, Drama, Romance","Hashiba Sora has fallen from a 4th story window and has lost all of his memories. When Fujimori Sunao comes to his school as his new room mate, Fujimori tells Hashiba that he is called Ran. Fujimori and Hashiba both have a split personality which they developed in their youth. Their split personalities, Yoru and Ran, are deeply in love. Even though it creeps Fujimori and Hashiba out what their other selves do with each other at night, they also start to fall for each other. Because of their relationship, Hashiba Sora finds out a lot of shocking facts about their youth.",TV,12.0,"Jan 9, 2005 to Mar 27, 2005",winter 2005,Finished Airing,"Bandai Visual, Lantis, Movic",Media Blasters,Zexcs,Visual novel,24 min per ep,PG-13 - Teens 13 or older,5635.0,2937,228,23101.0,48958,https://cdn.myanimelist.net/images/anime/7/85449.jpg
1533,Ai Tenshi Densetsu Wedding Peach,Wedding Peach,愛天使伝説 ウェディングピーチ,6.77,"Comedy, Fantasy, Romance","There are three known worlds—the human world, the angel world, and the devil world. The evil queen Raindevilla yearns to destroy the angel world with help or her many devil minions. The goddess Aphrodite sends an angel to the human world, Limone, to summon three love angels in the form of three school girls, Momoko Hanasaki, Yuri Tanima, and Hinagiku Tamano, who together become Angel Lilly, Angel Daisy, and Wedding Peach. The three girls must fight to overcome the evils of the devils, as well as their own lives, and restore peace to the angel world by gathering all pieces of the Sacred Four Somethings (or Saint Something Four) and defeat the evil queen once and for all.

(Source: ANN)",TV,51.0,"Apr 5, 1995 to Mar 27, 1996",spring 1995,Finished Airing,"KSS, Nihon Ad Systems, Studio Jack",ADV Films,OLM,Manga,24 min per ep,PG - Children,4976.0,4353,136,10210.0,22377,https://cdn.myanimelist.net/images/anime/7/20446.jpg
1534,Futari wa Precure: Splash☆Star,UNKNOWN,ふたりはプリキュア Splash☆Star,7.21,"Action, Comedy, Fantasy","During the summer festival five years ago, two girls met at a mysterious tree and saw two glowing spheres. Now, these two girls--Saki Hyuuga, ace pitcher on the school softball team; and Mai Mishou, who prefers sketching over stargazing--are chosen by the spirits of flowers (Flappy) and birds (Choppy) to restore the Seven Fountains and save their worlds from Dark Autumn. Together, they are the NEW Pretty Cure.

(Source: ANN)",TV,49.0,"Feb 5, 2006 to Jan 28, 2007",winter 2006,Finished Airing,Asahi Broadcasting,UNKNOWN,Toei Animation,Original,24 min per ep,G - All Ages,2992.0,5445,93,5197.0,12927,https://cdn.myanimelist.net/images/anime/3/7534.jpg
1535,Death Note,Death Note,デスノート,8.62,"Supernatural, Suspense","Brutal murders, petty thefts, and senseless violence pollute the human world. In contrast, the realm of death gods is a humdrum, unchanging gambling den. The ingenious 17-year-old Japanese student Light Yagami and sadistic god of death Ryuk share one belief: their worlds are rotten.

For his own amusement, Ryuk drops his Death Note into the human world. Light stumbles upon it, deeming the first of its rules ridiculous: the human whose name is written in this note shall die. However, the temptation is too great, and Light experiments by writing a felon's name, which disturbingly enacts his first murder.

Aware of the terrifying godlike power that has fallen into his hands, Light—under the alias Kira—follows his wicked sense of justice with the ultimate goal of cleansing the world of all evil-doers. The meticulous mastermind detective L is already on his trail, but as Light's brilliance rivals L's, the grand chase for Kira turns into an intense battle of wits that can only end when one of them is dead.",TV,37.0,"Oct 4, 2006 to Jun 27, 2007",fall 2006,Finished Airing,"VAP, Konami, Ashi Productions, Nippon Television Network, Shueisha",VIZ Media,Madhouse,Manga,23 min per ep,R - 17+ (violence & profanity),74.0,2,167586,2619479.0,3713315,https://cdn.myanimelist.net/images/anime/9/9453.jpg
1536,Busou Renkin,Buso Renkin,武装錬金,7.3,"Action, Supernatural","The story begins when high school student Kazuki Muto is killed one night saving a mysterious girl from a monster, only to wake up in his school dorm, believing it to have been a dream; however, he soon finds out that dream wasn't a dream at all when a giant serpentine monster attacks him and his sister. Tokiko Tsumura, the girl he saved, explains that the monster is a homunculus. Kazuki had been attacked and killed by it when he was rescuing her; however, she, feeling responsible for him, revived him by placing a Kakugane medallion in his chest, serving as a replacement heart.

The Kakugane, as Tokiko explains, is an alchemical device that, when activated, takes a certain form based on the Kakugane's user, forming a unique Buso Renkin. The Buso Renkin is the only thing that can destroy a homunculus monster. Using this, Kazuki creates his own Buso Renkin (the ""Sunlight Heart,"" a huge lance). Along with Tokiko and her own Buso Renkin (the ""Valkyrie Skirt,"" an execution scythe), Kazuki joins the fight against the homunculi and their master.",TV,26.0,"Oct 5, 2006 to Mar 29, 2007",fall 2006,Finished Airing,"Geneon Universal Entertainment, Yomiko Advertising, Shueisha, Imagine",VIZ Media,Xebec,Manga,24 min per ep,PG-13 - Teens 13 or older,2526.0,1302,856,79371.0,169004,https://cdn.myanimelist.net/images/anime/6/75566.jpg
1537,Genshi Shounen Ryuu,Ryu the Primitive Boy,原始少年リュウ,6.37,"Action, Adventure, Sci-Fi","When Ryuu is born his tribe tries to sacrifice him to a Tyrannosaurus named Shirano because of the color of his skin. He is however saved by a monkey who raises him as her own son. Meanwhile Ryuu's mother has left the tribe and is out on a quest to find Ryuu.

16 years later Ryuu meets a girl named Ran who was sold to the tribe Ryuu originaly came from. The tribe is not happy to see Ryuu alive and tries to sacrifice him again, this time by burning him alive. Before they can get the deed done the tribe is massacred along with Ryuu's adoptive mother by Shirano. Ryuu then sets out on a quest together with Ran to find his mother and Ran's brother Don.",TV,22.0,"Oct 30, 1971 to Mar 25, 1972",fall 1971,Finished Airing,TBS,UNKNOWN,Toei Animation,Manga,25 min per ep,PG-13 - Teens 13 or older,7049.0,10224,6,724.0,2308,https://cdn.myanimelist.net/images/anime/6/26879.jpg
1538,Pumpkin Scissors,UNKNOWN,パンプキン・シザーズ,7.16,"Action, Comedy, Drama","Three years ago, the long war between the Royal Empire and the Republic of Frost came to an end. With both nations a long way from recovery, a passionate young woman named Alice L. Malvin leads the Pumpkin Scissors, a unit of the imperial army specializing in war relief.

During a mission to assist a village occupied by renegade soldiers, Alice meets Randal Oland, a scarred former soldier with a sordid past and kind heart. Encouraged by the efforts of the Pumpkin Scissors, he joins the team on their mission. During the assault, however, Randal enters a trance-like state prompted by a mysterious blue lantern. As a result, he acquires monstrous strength and decimates the enemy forces.

Despite having witnessed Randal's disturbing transformation, Alice invites him to join her squandrant, confident that his gentle nature will prevail and make him a perfect fit for the Pumpkin Scissors.",TV,24.0,"Oct 3, 2006 to Mar 18, 2007",fall 2006,Finished Airing,"GDH, Sotsu Music Publishing","ADV Films, Funimation","Gonzo, AIC",Manga,23 min per ep,R - 17+ (violence & profanity),3265.0,3203,129,16882.0,41900,https://cdn.myanimelist.net/images/anime/8/75181.jpg
1539,Touch: Cross Road - Kaze no Yukue,UNKNOWN,タッチ CROSS ROAD～風のゆくえ,6.83,"Romance, Sports","Trying to find his own game of baseball, and not that of his brothers, Tatsuya moves to America and pitches for a poor, struggling minor league baseball team called the Emeralds. Meanwhile, Minami is still in Japan, trying to find her own path after quitting gymnastics. Inspired by a photograph of her final performance, she becomes the photographers assisstant.

(Source: ANN)",Special,1.0,"Feb 9, 2001",UNKNOWN,Finished Airing,"VAP, Kodansha, Toho, Toho Music",UNKNOWN,Group TAC,Unknown,1 hr 30 min,PG-13 - Teens 13 or older,4692.0,9128,2,1605.0,3359,https://cdn.myanimelist.net/images/anime/13/6176.jpg
1540,"Touch: Miss Lonely Yesterday - Are kara, Kimi wa...",UNKNOWN,"タッチ Miss Lonely Yesterday あれから, 君は...",6.59,"Romance, Sports","Unsure of Tatsuya's feelings, Minami ponders.",Special,1.0,"Dec 22, 1998",UNKNOWN,Finished Airing,"VAP, Toho, Nippon Television Network, Shogakukan, Toho Music",UNKNOWN,Group TAC,Unknown,1 hr 30 min,R+ - Mild Nudity,5856.0,8896,1,1700.0,3651,https://cdn.myanimelist.net/images/anime/1300/96421.jpg
1541,Souten no Ken,Fist of the Blue Sky,蒼天の拳,6.66,Action,"A mysterious man known as ""the King of Death"" roams the streets of pre-war Shanghai in this action-packed prequel to Fist of the North Star.

Shanghai in the 1930s is a dangerous place. Foreign governments and Chinese factions have carved the city into different quarters, each with its own laws and government, and all rife with corruption. As the major powers vie for political control, the streets are left to local gangs. Life is cheap, and death is always near.

In days past, one man walked these mean streets battling the forces of evil. He was known only as Yan Wang, ""the King of Death."" Few knew who he really was, but many knew that he was a master of Hokuto Shinken - Fist of the North Star - a lethal martial art. He disappeared years ago after dispatching the city's worst gangsters, and is now rumored to be in Japan. Various people have come to Japan in search of him, but who will find him first?",TV,22.0,"Oct 5, 2006 to Mar 15, 2007",fall 2006,Finished Airing,TV Asahi,UNKNOWN,APPP,Manga,27 min per ep,R - 17+ (violence & profanity),5552.0,5637,20,3518.0,11859,https://cdn.myanimelist.net/images/anime/12/17056.jpg
